p_ball,p_foul,p_pitchout,p_total_strike
918,505,0,1776
264,191,0,528
766,561,0,1766
129,115,0,383
50,25,0,83
156,99,0,336
86,49,0,133
261,103,0,412
918,438,0,1711
95,45,0,152
848,500,0,1652
888,620,0,2081
966,453,0,1700
752,344,0,1375
108,34,0,175
160,105,0,320
131,73,0,248
207,96,0,411
298,133,0,545
330,174,0,649
581,284,0,1071
386,221,0,731
651,396,0,1433
134,61,0,246
67,35,0,124
109,43,0,184
923,397,1,1792
132,75,1,248
191,95,0,302
659,307,0,1136
178,66,0,266
355,149,0,611
715,427,1,1406
209,81,0,346
247,127,0,512
129,52,0,175
274,126,0,495
56,33,0,113
53,15,0,80
335,197,0,711
304,123,0,506
365,217,0,758
128,78,0,226
178,88,0,381
237,133,0,429
431,251,0,959
125,63,0,187
626,283,0,979
139,99,0,334
148,84,0,276
149,81,1,281
341,167,0,641
685,265,0,1188
60,21,0,97
209,89,0,341
274,154,0,512
404,153,0,668
289,136,0,523
55,18,0,73
61,36,0,126
329,148,0,553
367,149,0,642
61,35,0,92
781,470,0,1567
281,127,0,537
262,139,0,478
70,39,0,151
70,39,0,151
339,247,0,673
64,25,0,105
35,33,0,96
216,107,0,411
249,97,0,355
998,522,0,1733
56,25,0,94
921,542,0,1967
1032,448,0,1815
381,206,0,684
107,48,0,168
954,635,0,2116
335,175,1,602
340,168,0,601
253,113,0,450
472,218,1,879
65,23,0,103
318,185,0,683
925,533,0,1865
141,71,0,321
482,220,0,870
498,272,0,860
461,197,0,898
376,210,0,719
114,57,0,203
452,180,0,802
98,76,0,231
1063,516,0,1786
450,300,0,1144
187,88,0,321
348,184,0,671
105,51,0,186
556,318,1,1164
81,29,0,116
224,101,0,409
330,172,0,658
187,118,0,392
225,144,0,461
56,26,0,91
961,528,0,2060
529,293,1,1066
424,233,1,815
41,19,1,86
192,80,0,335
218,137,1,425
1116,543,0,1920
852,531,0,1897
142,69,0,290
112,57,0,236
781,369,0,1388
358,235,0,775
150,65,0,261
989,546,0,1867
445,183,0,776
854,430,3,1609
850,459,0,1823
448,235,0,898
39,20,0,73
350,188,0,703
47,23,0,78
291,178,0,535
142,75,0,238
489,205,1,805
58,31,0,111
318,186,0,582
33,24,0,77
295,151,0,512
349,169,0,572
124,71,0,208
35,15,0,68
100,74,0,206
206,92,0,348
284,219,0,699
754,383,0,1429
463,288,0,996
1045,459,0,1896
151,78,0,269
180,80,0,308
43,12,0,70
401,191,0,728
77,35,0,150
800,442,0,1625
327,206,0,669
373,175,0,683
324,222,0,692
55,15,0,66
71,50,0,164
291,186,0,660
75,31,0,136
37,18,0,68
991,692,0,2364
258,161,0,513
695,417,0,1614
531,282,0,1080
288,136,0,494
327,192,0,663
223,118,0,422
329,224,0,693
76,42,0,145
212,147,0,473
135,88,0,285
67,40,0,145
732,403,0,1215
707,358,1,1373
310,135,1,481
86,60,1,194
78,57,0,166
638,303,0,1186
48,22,0,76
1029,521,0,1861
213,118,0,404
815,367,0,1499
228,161,1,496
320,178,0,751
45,24,0,82
332,206,0,672
78,43,0,138
829,445,0,1618
221,131,0,412
161,88,0,318
582,341,0,1163
336,172,0,635
52,28,0,91
135,73,0,221
131,63,0,216
53,23,0,77
250,129,0,435
226,163,0,537
131,72,0,251
673,406,0,1344
194,89,0,299
391,215,0,786
57,38,0,132
772,396,0,1453
1034,483,0,2082
211,117,0,406
1091,473,0,1818
466,235,0,954
340,131,0,585
966,538,0,1959
245,109,0,375
275,134,0,561
1133,552,0,2069
325,159,2,647
395,172,0,691
236,164,0,568
211,117,0,371
125,51,0,196
992,502,0,1728
137,73,0,272
180,135,0,431
349,233,1,789
268,132,0,465
71,32,0,124
321,202,0,637
269,137,0,490
1008,658,0,2193
948,437,0,1612
647,256,2,1087
271,170,0,538
212,101,0,367
371,276,0,829
293,108,0,457
156,67,0,244
938,449,0,1808
100,49,0,156
319,193,0,626
65,45,0,132
77,39,0,140
335,134,0,602
966,622,0,2213
248,99,0,409
209,120,0,382
200,95,0,392
110,62,0,209
936,512,0,1732
325,136,0,586
809,425,0,1516
379,171,1,589
82,27,0,142
826,425,0,1592
102,50,0,177
770,429,1,1591
841,441,0,1606
629,364,0,1332
738,392,1,1348
135,62,0,258
1180,497,4,2012
349,227,0,700
313,182,0,613
67,22,0,86
292,163,0,552
338,221,0,762
839,450,0,1451
718,351,0,1178
452,202,0,801
162,95,0,351
463,224,0,729
978,602,0,2049
420,278,0,822
294,150,0,536
341,203,1,666
297,121,0,525
83,39,0,162
1018,549,0,2163
208,95,0,422
102,60,0,268
402,152,0,670
125,68,0,284
193,86,0,388
722,322,0,1318
249,103,0,401
380,225,0,815
48,16,0,73
675,358,0,1258
57,22,0,80
233,119,0,469
873,304,0,1320
714,399,0,1282
444,231,0,826
435,216,0,828
309,154,0,501
117,43,0,167
179,110,0,371
231,132,0,483
80,37,0,140
372,179,1,767
616,337,0,1097
55,18,0,79
841,487,1,1666
647,354,1,1357
72,41,0,145
1113,464,0,1821
412,205,0,774
680,302,2,1293
114,88,0,268
618,307,1,1196
56,48,0,123
79,38,0,127
62,25,0,85
188,106,0,378
41,24,0,95
112,66,0,222
48,18,0,67
728,353,1,1284
110,58,0,205
282,123,0,557
1121,557,1,2097
529,228,0,888
681,355,0,1316
160,87,0,268
270,142,0,485
354,136,0,641
197,116,0,357
78,49,0,129
132,61,0,213
670,373,1,1384
323,135,1,557
57,28,0,96
95,54,0,185
207,118,0,413
362,183,0,644
586,244,0,1066
92,42,0,144
344,189,0,793
194,88,0,350
1039,710,0,2406
777,456,0,1714
215,114,0,437
66,34,0,127
71,37,0,129
305,158,1,665
123,75,0,279
221,108,0,358
282,183,0,631
354,230,1,773
1136,620,0,1888
259,188,0,605
317,190,0,633
321,189,1,561
199,84,1,285
60,11,0,67
310,133,0,517
50,24,0,87
372,173,0,610
646,363,0,1356
90,43,0,188
460,249,0,907
318,167,0,615
82,35,0,134
98,25,0,149
531,225,0,869
152,83,0,341
327,174,1,626
223,135,0,488
171,87,0,320
372,184,0,746
273,122,0,455
61,34,0,110
347,200,0,705
250,163,0,523
224,136,0,464
296,119,0,559
1036,623,0,1965
1005,527,0,1949
436,241,0,829
767,329,0,1379
192,77,0,323
237,90,0,380
262,147,0,563
780,472,0,1739
102,42,0,196
645,240,1,968
53,28,0,103
1071,519,0,1916
375,147,0,559
389,210,0,773
803,454,1,1615
507,282,0,1064
533,423,0,1241
134,79,0,258
268,136,1,525
99,43,0,174
397,181,1,700
263,139,0,455
352,192,0,671
123,61,0,230
270,139,0,533
915,478,1,1987
1022,555,1,1972
69,32,0,128
43,27,0,70
39,25,0,83
372,140,0,593
129,66,0,266
285,166,0,629
55,21,0,108
909,495,0,1656
407,199,0,734
144,90,0,289
29,12,0,62
28,15,0,55
32,19,0,66
24,9,0,49
33,20,1,62
41,13,0,47
31,11,0,65
26,12,0,44
25,14,0,67
